year,month,new_cases,new_deaths
2020,1,0.142857142857143,0
2020,2,0,0
2020,3,0.129032258064516,0
2020,4,1.73333333333333,0
2020,5,50.5333333333333,0.290322580645161
2020,6,399.733333333333,0.7
2020,7,200.225806451613,0.870967741935484
2020,8,635.129032258065,5.54838709677419
2020,9,1278.56666666667,9
2020,10,2997.61290322581,14.1612903225806
2020,11,2090.3,19.0333333333333
2020,12,875.516129032258,11.2258064516129
2021,1,334.387096774194,5.58064516129032
2021,2,113.714285714286,26.6071428571429
2021,3,102.129032258065,8.25806451612903
2021,4,1529.26666666667,8.3
2021,5,7681.12903225806,132.483870967742
2021,6,2583.43333333333,57.5333333333333
2021,7,1825.29032258065,24.0322580645161
2021,8,2169.61290322581,28.8064516129032
2021,9,1648,20
